date,home_score,away_score,rodada,home_team,away_team,ano,c_pontosmedio_all_home,c_pontosmedio_t1_home,c_pontosmedio_t5_home,c_pontosmedio_t10_home,c_preco_all_home,c_preco_t1_home,c_preco_t5_home,c_preco_t10_home,c_pontosmedio_all_away,c_pontosmedio_t1_away,c_pontosmedio_t5_away,c_pontosmedio_t10_away,c_preco_all_away,c_preco_t1_away,c_preco_t5_away,c_preco_t10_away,vencedor,home_vitoria,away_vitoria,home_pontos,away_pontos,home_golspro_m1,away_golspro_m1,home_golscon_m1,away_golscon_m1,home_vitoria_m1,away_vitoria_m1,home_pontos_m1,away_pontos_m1,home_golspro_m2,away_golspro_m2,home_golscon_m2,away_golscon_m2,home_vitoria_m2,away_vitoria_m2,home_pontos_m2,away_pontos_m2,home_golspro_m3,away_golspro_m3,home_golscon_m3,away_golscon_m3,home_vitoria_m3,away_vitoria_m3,home_pontos_m3,away_pontos_m3,home_golspro_m4,away_golspro_m4,home_golscon_m4,away_golscon_m4,home_vitoria_m4,away_vitoria_m4,home_pontos_m4,away_pontos_m4,home_golspro_m5,away_golspro_m5,home_golscon_m5,away_golscon_m5,home_vitoria_m5,away_vitoria_m5,home_pontos_m5,away_pontos_m5,home_golspro_a5,away_golspro_a5,home_golspro_a4,away_golspro_a4,home_golspro_a3,away_golspro_a3,home_golspro_a2,away_golspro_a2,home_golspro_a1,away_golspro_a1,home_golscon_a5,away_golscon_a5,home_golscon_a4,away_golscon_a4,home_golscon_a3,away_golscon_a3,home_golscon_a2,away_golscon_a2,home_golscon_a1,away_golscon_a1,home_vitoria_a5,away_vitoria_a5,home_vitoria_a4,away_vitoria_a4,home_vitoria_a3,away_vitoria_a3,home_vitoria_a2,away_vitoria_a2,home_vitoria_a1,away_vitoria_a1,home_pontos_a5,away_pontos_a5,home_pontos_a4,away_pontos_a4,home_pontos_a3,away_pontos_a3,home_pontos_a2,away_pontos_a2,home_pontos_a1,away_pontos_a1,c_pontosmedio_all_home_res,c_pontosmedio_t1_home_res,c_pontosmedio_t5_home_res,c_pontosmedio_t10_home_res,c_preco_all_home_res,c_preco_t1_home_res,c_preco_t5_home_res,c_preco_t10_home_res,c_pontosmedio_all_away_res,c_pontosmedio_t1_away_res,c_pontosmedio_t5_away_res,c_pontosmedio_t10_away_res,c_preco_all_away_res,c_preco_t1_away_res,c_preco_t5_away_res,c_preco_t10_away_res,preco_away_10,preco_home_10,dif_preco_10,prec_away_20,prec_home_20,home_saldo_a5,away_saldo_a5,testperc,a,train,test,p1,p2,b,placar_full,placar,placar2,previsao
16/05/2015 - 18:30,2,0,2,goi,cap,2015,1.0576923,5.5,3.3600001,2.165,4.3537502,14,10.568,8.566,5.1114287,11.5,9.46,7.006,5.4672222,22.940001,17.054001,13.371,0,1,0,3,0,4,1,2,1,1,0,3,1,0,1,1,0,0,1,0,3,1,2,2,1,0,1,0,3,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1.25,1.25,1.6666666,1.3333334,2,1,4,1,1.4,.80000001,1.5,.75,1.6666666,.66666669,1.5,.5,2,1,.2,.40000001,.25,.5,.33333334,.66666669,.5,.5,1,0,.60000002,1.6,.75,2,1,2.3333333,1.5,2,3,1,-.73877525,-2.48,-2.0263999,-1.4873999,-2.4263382,-10.82,-7.3259997,-6.1459999,1.4936763,.11999998,1.9504,1.6122,-1.1708486,-1.3539994,-.66119897,-1.2647998,4,1,-3,16,4,0,0,.2,.97912145,1,,2,0,.47129616,20,6,5,
16/05/2015 - 21:00,1,0,2,cor,cha,2015,2.4807408,9.6000004,7.7999997,6.1009998,7.3272972,30,22.309999,18.801001,3.4364288,9.1000004,7.1200004,5.3610001,5.2670002,14,12.606,11.098,0,1,0,3,0,2,2,1,4,1,0,3,0,2,1,5,1,0,0,0,1,1,2,0,0,1,1,3,3,1,4,0,1,1,1,3,3,2,0,1,1,1,0,3,0,1.6,1.8,1.5,2.25,1.6666666,1.6666666,2,1.5,2,2,1.4,1.4,1.5,1.5,2,1.6666666,3,2.5,1,4,.80000001,.40000001,.75,.5,.66666669,.33333334,.5,0,1,0,2.4000001,1.4,2.25,1.75,2,1.3333334,1.5,.5,3,0,.68427324,1.6200005,2.4135997,2.4485998,.54720867,5.1799998,4.4159999,4.0890007,-.18132362,-2.2799997,-.38959971,-.032799911,-1.3710706,-10.294,-5.1092,-3.5378006,1,10,9,10,20,0,0,.2,.84123266,1,,1,0,.56808096,10,5,4,
17/05/2015 - 16:00,1,0,2,san,cru,2015,1.3453333,8.1999998,5.4200001,3.2679999,6.9066668,29.42,19.15,15.094,.50933331,5.4000001,2.388,1.244,8.3035002,26,20.435999,16.812,0,1,0,3,0,1,2,0,1,1,1,3,3,2,1,0,1,1,0,3,1,0,2,1,1,0,1,0,3,1,2,1,1,0,1,1,3,0,1,1,0,0,1,0,3,.80000001,1.6,1,1.75,1,1.6666666,1.5,1.5,1,2,.60000002,.80000001,.5,1,.33333334,1,0,1,0,1,.40000001,.80000001,.5,.75,.66666669,.66666669,1,.5,1,1,1.4,2.5999999,1.75,2.5,2,2.3333333,3,2,3,3,-.4511342,.21999988,.03360014,-.38440004,.12657824,4.5999999,1.2559999,.38199997,-3.1084192,-5.98,-5.1216002,-4.1497998,1.6654294,1.7060001,2.720799,2.1762002,9,6,-3,20,19,0,0,.2,.77278543,1,,1,0,.56347317,10,5,4,
17/05/2015 - 16:00,4,1,2,cam,flu,2015,1.9871428,8.3999996,5.1799998,3.372,8.1705408,26,21.327999,17.754999,5.3379998,12,9.7399998,7.3569999,7.5700002,26.18,21.024,17.506001,0,1,0,3,0,0,1,0,2,0,0,1,0,1,5,2,2,0,1,0,3,1,2,2,2,0,0,0,1,4,1,0,4,1,0,3,0,1,1,1,0,0,1,1,3,1.4,2,1.5,2.25,.66666669,2.6666667,.5,3,0,1,1,2,1,2.5,1.3333334,2,1,2,0,2,.2,.40000001,.25,.25,0,.33333334,0,.5,0,0,1,1.4,1,1,.33333334,1.3333334,.5,1.5,1,0,.19067526,.41999969,-.20640011,-.28039995,1.3904523,1.1799999,3.4339995,3.0429993,1.7202474,.62,2.2303996,1.9631999,.93192929,1.8860004,3.3088002,2.8702004,9,9,0,20,20,0,1,.2,.70108593,1,,4,1,.87946367,30,7,5,
17/05/2015 - 16:00,2,2,2,fla,spo,2015,2.1114285,8.1999998,5.1719999,3.3559999,7.1421876,24.68,16.114,13.344,3.6935713,18.9,8.8400002,6.0009999,6.5826316,32.349998,17.455999,14.392,1,0,0,1,1,1,1,1,0,0,1,1,3,4,2,0,2,1,0,3,1,1,2,1,2,0,0,1,1,0,2,4,0,0,1,0,3,3,1,2,0,1,1,3,3,1.8,1.6,1.5,1.75,2,1.6666666,2.5,1.5,1,1,1.6,.80000001,1.5,1,.66666669,1.3333334,.5,1,1,0,.40000001,.60000002,.25,.5,.33333334,.33333334,.5,.5,0,1,1.6,2.2,1.25,2,1.6666666,1.6666666,2,2,1,3,.31496096,.21999988,-.21440001,-.29639998,.36209908,-.13999978,-1.7799994,-1.368,.075818934,7.5199995,1.3304001,.60719997,-.055439282,8.0559988,-.25920048,-.24379997,5,3,-2,18,16,0,0,.2,.49912301,1,,2,2,.83901519,22,4,3,
24/05/2015 - 16:00,1,0,3,cap,cam,2015,2.5274999,7,5.5900002,4.1040001,5.2379999,22.059999,17.09,13.368999,3.3881819,19.200001,11.52,7.6490002,8.0464869,28.93,21.48,17.771,0,1,0,3,0,0,4,2,1,0,1,0,3,1,0,1,0,0,0,1,1,1,1,0,2,1,0,3,0,2,1,1,2,1,0,3,0,1,4,1,0,0,1,1,3,1,2,1,1.5,.66666669,1.6666666,.5,2,0,4,1,1,1,1.25,1,1,1.5,.5,2,1,.40000001,.40000001,.5,.25,.33333334,.33333334,0,.5,0,1,1.6,1.4,1.75,1,1.3333334,1.3333334,.5,2,0,3,.46051443,-1.4599999,.12780011,.29990011,-1.1685363,-2.2360005,-.24379997,-.5552004,.45731336,7.3650007,3.8270004,1.9162002,1.461635,5.1140003,5.0399995,4.198,10,4,-6,20,16,1,0,.2,.90211791,1,,1,0,.15901893,10,5,4,
24/05/2015 - 18:30,1,0,3,spo,cfc,2015,2.9070587,13.2,7.71,5.027,6.566154,35.18,18.756001,14.705,2.9868751,8,5.73,4.4289999,5.4636583,21.690001,12.8,10.279,0,1,0,3,0,2,,2,,0,,1,,1,3,0,2,1,1,3,3,2,2,2,1,0,1,1,3,2,2,2,0,0,1,1,3,2,1,0,1,1,0,3,1,1.8,2,1.75,2.3333333,1.6666666,2.5,1.5,3,2,,1.2,1,1.5,1,1.3333334,1.5,1,2,2,,.40000001,.75,.25,1,.33333334,1,.5,1,0,,1.8,2.5,1.5,3,1.6666666,3,2,3,1,,.84007323,4.7399998,2.2477999,1.2228999,.15961781,10.884,1.4222004,.78080004,.056006491,-3.835,-1.9630001,-1.3038001,-1.1211935,-2.1259995,-3.6399999,-3.2939997,1,7,6,8,19,0,0,.2,.37722474,1,,1,0,.53790075,10,5,4,
24/05/2015 - 16:00,0,0,3,flu,cor,2015,3.1949999,11.7,6.9520001,5.171,7.29561,25.860001,20.58,17.039,4.110476,14.6,9.8400002,7.507,9.535882,26.139999,20.688,17.441999,1,0,0,1,1,1,1,4,0,0,1,0,3,1,2,2,1,0,1,0,3,5,2,2,5,1,0,3,0,2,1,2,0,0,1,1,3,1,1,4,0,0,1,0,3,2,1.4,2.25,1.5,2.3333333,1.6666666,1,1.5,1,1,2.8,1.2,2.5,1.5,2.6666667,2,3,.5,4,0,.2,.80000001,.25,.75,.33333334,.66666669,0,1,0,1,.80000001,2.4000001,1,2.25,1,2,0,3,0,3,1.1280144,3.2399998,1.4898001,1.3669,.88907373,1.5640005,3.2461998,3.1147997,1.1796074,2.7650003,2.1470001,1.7742,2.95103,2.3239994,4.2479997,3.8689995,10,10,0,20,20,0,0,.2,.22144763,1,,0,0,.59212476,0,4,3,
23/05/2015 - 21:00,1,0,3,gre,fig,2015,1.3578947,10.15,5.7199998,3.73,6.2586842,29.92,19.282,14.514,2.5555999,16.4,9.1399994,6.724,4.9271111,13.01,10.704,9.5720005,0,1,0,3,0,,0,,0,,0,,1,1,1,1,2,0,0,1,0,0,1,1,1,0,0,0,1,0,2,1,0,0,1,0,3,1,1,2,0,0,1,0,3,.5,1,.33333334,1,.5,.66666669,1,.5,,0,1.25,.60000002,1,.75,1,1,1,1,,0,0,.40000001,0,.25,0,0,0,0,,0,.25,1.6,.33333334,1.25,.5,.66666669,1,.5,,1,-.70909083,1.6899997,.25779974,-.074099973,-.14785203,5.6240001,1.9481995,.58980006,-.37526864,4.5649996,1.4469993,.99119997,-1.6577407,-10.806,-5.7359996,-4.0009995,1,6,5,6,19,0,0,.2,.49743423,1,,1,0,.57387632,10,5,4,
24/05/2015 - 16:00,2,1,3,ava,fla,2015,.57749999,5.6999998,3.72,2.3299999,4.0988097,17.940001,10.604,8.2910004,1.9255556,10.5,5.4900002,3.921,7.0003123,28.23,16.326,13.384,0,1,0,3,0,0,2,1,2,0,0,0,1,,1,,1,,0,,1,,4,,0,,1,,3,,1,,1,,0,,1,,0,,4,,0,,0,0,1.6,0,2,0,2.3333333,0,1.5,0,2,1,1.6,1,1,1,1,1,1.5,1,2,0,.2,0,.25,0,.33333334,0,0,0,0,0,1.2,0,1.5,0,1.6666666,0,1,0,1,-1.4894855,-2.7600002,-1.7422,-1.4741001,-2.3077264,-6.3559995,-6.7298002,-5.6331997,-1.0053129,-1.3350002,-2.2029998,-1.8118,.41546044,4.4139996,-.11399984,-.18900013,5,1,-4,16,3,0,1,.2,.73836118,1,,2,1,.33375773,21,7,5,
